Date,Description,Debit,Credit,Balance,Account Number,Bank Name
2026-06-01,ACME CORP PAYROLL SALARY CREDIT,,8100.00,15230.45,XXXX-4821,First Meridian Bank
2026-06-02,WHOLEFOODS MARKET #221,142.37,,15088.08,XXXX-4821,First Meridian Bank
2026-06-03,NETFLIX.COM SUBSCRIPTION,15.49,,15072.59,XXXX-4821,First Meridian Bank
2026-06-04,SHELL FUEL STATION 8842,52.10,,15020.49,XXXX-4821,First Meridian Bank
2026-06-05,RENT PAYMENT - PARKVIEW APTS,1850.00,,13170.49,XXXX-4821,First Meridian Bank
2026-06-06,STARBUCKS COFFEE #1187,8.75,,13161.74,XXXX-4821,First Meridian Bank
2026-06-07,AMAZON MARKETPLACE ORDER,89.99,,13071.75,XXXX-4821,First Meridian Bank
2026-06-08,CITY ELECTRIC UTILITY BILL,124.60,,12947.15,XXXX-4821,First Meridian Bank
2026-06-09,UBER TRIP,18.40,,12928.75,XXXX-4821,First Meridian Bank
2026-06-10,SPOTIFY PREMIUM,11.99,,12916.76,XXXX-4821,First Meridian Bank
2026-06-11,CVS PHARMACY #3321,34.20,,12882.56,XXXX-4821,First Meridian Bank
2026-06-12,HOME LOAN EMI AUTO-DEBIT,720.00,,12162.56,XXXX-4821,First Meridian Bank
2026-06-13,TRADER JOES #58,96.44,,12066.12,XXXX-4821,First Meridian Bank
2026-06-14,ATM WITHDRAWAL BRANCH 220,200.00,,11866.12,XXXX-4821,First Meridian Bank
2026-06-15,VANGUARD INVESTMENT TRANSFER,1000.00,,10866.12,XXXX-4821,First Meridian Bank
2026-06-16,CHIPOTLE ONLINE ORDER,24.85,,10841.27,XXXX-4821,First Meridian Bank
2026-06-17,DELTA AIRLINES TICKET,412.30,,10428.97,XXXX-4821,First Meridian Bank
2026-06-18,GEICO AUTO INSURANCE,138.50,,10290.47,XXXX-4821,First Meridian Bank
2026-06-19,COURSERA ANNUAL PLAN,59.00,,10231.47,XXXX-4821,First Meridian Bank
2026-06-20,ZELLE TRANSFER TO J. RIVERA,150.00,,10081.47,XXXX-4821,First Meridian Bank
2026-06-21,TARGET STORE 0442,67.13,,10014.34,XXXX-4821,First Meridian Bank
2026-06-22,AMC THEATRES 0092,32.00,,9982.34,XXXX-4821,First Meridian Bank
2026-06-25,FREELANCE INVOICE PAYMENT RECEIVED,,650.00,10632.34,XXXX-4821,First Meridian Bank
2026-06-27,COMCAST INTERNET BILL,79.99,,10552.35,XXXX-4821,First Meridian Bank
2026-06-30,CASH DEPOSIT BRANCH 220,,300.00,10852.35,XXXX-4821,First Meridian Bank
